,001e0610ba46,001e0610ba15,001e0610ee33,001e0610ee82,001e0610ef27,001e061135cb,001e06113ad8,001e06112e77,001e0610f6db,001e06113107,001e06114fd4,001e0610e539,001e0610f703,001e0610e835,001e0610eef2,001e0610ee43,001e0610f05c,001e0610e537,001e06109416,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e0610ba13
2018-10-08 02:04:00,0.00425,,,,,,0.00875,0.00194,0.00524,0.02409,0.00306,,,0.01664,0.00124,,0.02321,,0.04773,,,0.00429,0.0251,0.01622,0.00156,,0.0124
2018-10-08 02:05:00,0.0054,,,,,,0.02049,0.00033,,0.01045,,,,0.02137,0.00212,,0.0192,,0.06333,0.00344,,,0.00982,0.01277,0.01126,,0.02584
2018-10-08 02:06:00,,,,,,,0.00328,,0.00813,0.01405,,0.00401,,,,,0.00072,,0.06487,,,0.00532,0.02649,0.02451,0.01813,,
2018-10-08 02:07:00,,,,,,,0.01052,0.00556,,0.01265,0.01809,,,,,,0.00903,,0.04554,0.00882,,,0.00472,0.00683,0.00163,,
2018-10-08 02:08:00,0.00055,,,,,,0.00607,,0.00046,0.01246,0.00099,,,,0.00654,,0.02063,,0.04514,0.00204,,0.00117,0.00658,0.01671,,,0.01985
2018-10-08 02:09:00,0.00533,,,,,,0.01931,0.00602,,0.00418,8e-05,,,,,,0.02644,,0.05867,0.016,,0.00105,0.01955,0.00044,0.00853,,0.0072
2018-10-08 02:10:00,0.00933,,,,,,0.00528,,0.00011,0.00801,,,,,,,0.01535,,0.05992,,,,0.0154,0.00843,0.00354,,
2018-10-08 02:11:00,0.00535,,,,,,0.00089,0.00732,,0.00882,,,,0.01328,,,0.02625,,0.05669,0.00265,,0.00176,0.01369,0.02682,,,
2018-10-08 02:12:00,0.01334,,,,,,0.0127,,0.00268,0.01715,0.00671,,,0.01404,0.00483,,0.01664,,0.04052,0.00094,,0.00112,0.01138,0.00445,0.00456,,0.00468
2018-10-08 02:13:00,0.0119,,,,,,-0.0,,0.00016,0.00125,0.00243,,,0.01452,0.00978,,0.01882,,0.04678,0.00227,,,0.00908,0.00464,0.01367,,0.02738
2018-10-08 02:14:00,0.01936,,,,,,0.00819,,,0.00239,0.0009,0.01377,,0.00627,0.00487,,0.00776,,0.03857,,,0.00745,0.02917,0.01141,,,0.02049
2018-10-08 02:15:00,0.00322,,,,,,0.01023,0.00406,,0.01659,,0.00263,,,0.00092,,0.01594,,0.05218,0.0034,,0.00599,0.01951,0.02676,0.00844,,0.02547
2018-10-08 02:16:00,0.00107,,,,,,0.02037,0.00053,0.00243,0.01514,0.00689,,,0.00821,,,0.02007,,0.04557,,,0.00621,0.0149,0.0162,0.00073,,0.00358
